event_id,event_time,user_id,session_id,event,product_category,price,city,acq_channel,platform
38871,2025-07-01 00:05:06,819,819-20250701-0,visit,,,Dnipro,organic,android
38872,2025-07-01 00:11:16,819,819-20250701-0,view_product,D,,Dnipro,organic,android
19807,2025-07-01 00:43:14,424,424-20250701-1,visit,,,Kharkiv,organic,ios
19808,2025-07-01 00:43:59,424,424-20250701-1,view_product,C,,Kharkiv,organic,ios
19809,2025-07-01 00:44:10,424,424-20250701-1,view_product,C,,Kharkiv,organic,ios
7623,2025-07-01 03:15:09,175,175-20250701-0,visit,,,Odesa,referral,android
7624,2025-07-01 03:15:43,175,175-20250701-0,view_product,B,,Odesa,referral,android
7625,2025-07-01 03:17:17,175,175-20250701-0,view_product,C,,Odesa,referral,android
7627,2025-07-01 03:17:29,175,175-20250701-0,view_product,A,,Odesa,referral,android
7628,2025-07-01 03:18:06,175,175-20250701-0,view_product,C,,Odesa,referral,android
7626,2025-07-01 03:20:48,175,175-20250701-0,view_product,B,,Odesa,referral,android
7629,2025-07-01 03:52:09,175,175-20250701-0,purchase,C,102.05,Odesa,referral,android
32417,2025-07-01 05:01:03,697,697-20250701-0,visit,,,Kharkiv,organic,android
32419,2025-07-01 05:02:18,697,697-20250701-0,view_product,B,,Kharkiv,organic,android
32418,2025-07-01 05:05:34,697,697-20250701-0,view_product,B,,Kharkiv,organic,android
34426,2025-07-01 09:11:55,735,735-20250701-0,visit,,,Dnipro,organic,web
34427,2025-07-01 09:13:52,735,735-20250701-0,view_product,B,,Dnipro,organic,web
34428,2025-07-01 09:14:15,735,735-20250701-0,view_product,B,,Dnipro,organic,web
34430,2025-07-01 09:14:15,735,735-20250701-0,view_product,A,,Dnipro,organic,web
34429,2025-07-01 09:18:26,735,735-20250701-0,view_product,C,,Dnipro,organic,web
4234,2025-07-01 16:16:42,95,95-20250701-0,visit,,,Kyiv,organic,ios
4235,2025-07-01 16:20:32,95,95-20250701-0,view_product,A,,Kyiv,organic,ios
4236,2025-07-01 16:20:48,95,95-20250701-0,view_product,B,,Kyiv,organic,ios
4237,2025-07-01 16:21:41,95,95-20250701-0,view_product,C,,Kyiv,organic,ios
4238,2025-07-01 16:27:59,95,95-20250701-0,add_to_cart,C,,Kyiv,organic,ios
4239,2025-07-01 16:42:28,95,95-20250701-0,purchase,C,109.01,Kyiv,organic,ios
9255,2025-07-01 22:15:02,208,208-20250701-0,visit,,,Lviv,organic,web
19801,2025-07-01 22:18:34,424,424-20250701-0,visit,,,Kharkiv,organic,ios
9258,2025-07-01 22:19:17,208,208-20250701-0,view_product,B,,Lviv,organic,web
19803,2025-07-01 22:19:29,424,424-20250701-0,view_product,A,,Kharkiv,organic,ios
9257,2025-07-01 22:20:36,208,208-20250701-0,view_product,C,,Lviv,organic,web
19802,2025-07-01 22:20:36,424,424-20250701-0,view_product,A,,Kharkiv,organic,ios
9256,2025-07-01 22:21:09,208,208-20250701-0,view_product,A,,Lviv,organic,web
19804,2025-07-01 22:24:18,424,424-20250701-0,view_product,B,,Kharkiv,organic,ios
19805,2025-07-01 22:26:07,424,424-20250701-0,view_product,A,,Kharkiv,organic,ios
19806,2025-07-01 22:26:31,424,424-20250701-0,purchase,B,65.37,Kharkiv,organic,ios
19875,2025-07-01 22:39:10,425,425-20250701-0,visit,,,Kyiv,organic,android
19878,2025-07-01 22:40:57,425,425-20250701-0,view_product,A,,Kyiv,organic,android
19880,2025-07-01 22:41:55,425,425-20250701-0,view_product,B,,Kyiv,organic,android
19881,2025-07-01 22:42:41,425,425-20250701-0,add_to_cart,B,,Kyiv,organic,android
19877,2025-07-01 22:44:08,425,425-20250701-0,view_product,A,,Kyiv,organic,android
19876,2025-07-01 22:44:47,425,425-20250701-0,view_product,B,,Kyiv,organic,android
19882,2025-07-01 22:48:55,425,425-20250701-0,purchase,B,73.55,Kyiv,organic,android
19879,2025-07-01 22:49:02,425,425-20250701-0,view_product,A,,Kyiv,organic,android
923,2025-07-02 01:22:02,23,23-20250702-1,visit,,,Kyiv,referral,android
925,2025-07-02 01:23:56,23,23-20250702-1,view_product,A,,Kyiv,referral,android
924,2025-07-02 01:28:29,23,23-20250702-1,view_product,A,,Kyiv,referral,android
926,2025-07-02 01:29:11,23,23-20250702-1,add_to_cart,A,,Kyiv,referral,android
46033,2025-07-02 01:37:44,965,965-20250702-1,visit,,,Kyiv,ads,android
46034,2025-07-02 01:43:05,965,965-20250702-1,view_product,D,,Kyiv,ads,android
46035,2025-07-02 01:44:06,965,965-20250702-1,view_product,C,,Kyiv,ads,android
927,2025-07-02 02:01:47,23,23-20250702-1,purchase,A,29.31,Kyiv,referral,android
2053,2025-07-02 03:11:07,48,48-20250702-0,visit,,,Kharkiv,ads,web
2056,2025-07-02 03:11:25,48,48-20250702-0,view_product,B,,Kharkiv,ads,web
2054,2025-07-02 03:12:02,48,48-20250702-0,view_product,B,,Kharkiv,ads,web
2055,2025-07-02 03:12:20,48,48-20250702-0,view_product,D,,Kharkiv,ads,web
2059,2025-07-02 03:14:10,48,48-20250702-0,add_to_cart,B,,Kharkiv,ads,web
2057,2025-07-02 03:18:05,48,48-20250702-0,view_product,C,,Kharkiv,ads,web
2058,2025-07-02 03:19:42,48,48-20250702-0,view_product,B,,Kharkiv,ads,web
5796,2025-07-02 04:38:54,130,130-20250702-0,visit,,,Lviv,ads,web
5797,2025-07-02 04:39:19,130,130-20250702-0,view_product,A,,Lviv,ads,web
35527,2025-07-02 06:02:53,758,758-20250702-0,visit,,,Lviv,organic,web
35530,2025-07-02 06:04:23,758,758-20250702-0,view_product,B,,Lviv,organic,web
35528,2025-07-02 06:05:45,758,758-20250702-0,view_product,B,,Lviv,organic,web
35529,2025-07-02 06:05:57,758,758-20250702-0,view_product,C,,Lviv,organic,web
35531,2025-07-02 06:06:33,758,758-20250702-0,view_product,A,,Lviv,organic,web
46030,2025-07-02 06:09:09,965,965-20250702-0,visit,,,Kyiv,ads,android
46032,2025-07-02 06:11:39,965,965-20250702-0,view_product,C,,Kyiv,ads,android
35532,2025-07-02 06:12:00,758,758-20250702-0,add_to_cart,C,,Lviv,organic,web
46031,2025-07-02 06:14:02,965,965-20250702-0,view_product,B,,Kyiv,ads,android
35533,2025-07-02 06:25:02,758,758-20250702-0,purchase,C,100.04,Lviv,organic,web
918,2025-07-02 08:43:05,23,23-20250702-0,visit,,,Kyiv,referral,android
919,2025-07-02 08:44:01,23,23-20250702-0,view_product,A,,Kyiv,referral,android
922,2025-07-02 08:44:39,23,23-20250702-0,view_product,B,,Kyiv,referral,android
920,2025-07-02 08:45:38,23,23-20250702-0,view_product,B,,Kyiv,referral,android
921,2025-07-02 08:53:03,23,23-20250702-0,view_product,A,,Kyiv,referral,android
27377,2025-07-02 08:55:57,592,592-20250702-0,visit,,,Kyiv,organic,ios
21890,2025-07-02 08:56:32,468,468-20250702-0,visit,,,Kyiv,organic,web
27379,2025-07-02 09:00:53,592,592-20250702-0,view_product,A,,Kyiv,organic,ios
27378,2025-07-02 09:02:15,592,592-20250702-0,view_product,C,,Kyiv,organic,ios
21891,2025-07-02 09:06:30,468,468-20250702-0,view_product,B,,Kyiv,organic,web
7115,2025-07-02 09:15:01,160,160-20250702-0,visit,,,Odesa,organic,ios
4240,2025-07-02 09:15:14,95,95-20250702-0,visit,,,Kyiv,organic,ios
7118,2025-07-02 09:15:35,160,160-20250702-0,view_product,B,,Odesa,organic,ios
7116,2025-07-02 09:16:21,160,160-20250702-0,view_product,B,,Odesa,organic,ios
7120,2025-07-02 09:16:25,160,160-20250702-0,view_product,C,,Odesa,organic,ios
7117,2025-07-02 09:17:48,160,160-20250702-0,view_product,C,,Odesa,organic,ios
4241,2025-07-02 09:18:45,95,95-20250702-0,view_product,C,,Kyiv,organic,ios
7119,2025-07-02 09:18:53,160,160-20250702-0,view_product,D,,Odesa,organic,ios
4242,2025-07-02 09:19:45,95,95-20250702-0,view_product,A,,Kyiv,organic,ios
4243,2025-07-02 09:35:03,95,95-20250702-0,add_to_cart,A,,Kyiv,organic,ios
37098,2025-07-02 14:17:08,789,789-20250702-0,visit,,,Kyiv,ads,web
37099,2025-07-02 14:25:38,789,789-20250702-0,view_product,B,,Kyiv,ads,web
37100,2025-07-02 14:27:07,789,789-20250702-0,view_product,A,,Kyiv,ads,web
37101,2025-07-02 14:29:15,789,789-20250702-0,add_to_cart,A,,Kyiv,ads,web
37102,2025-07-02 14:34:54,789,789-20250702-0,purchase,A,30.17,Kyiv,ads,web
44648,2025-07-02 16:18:26,943,943-20250702-0,visit,,,Odesa,referral,ios
9422,2025-07-02 16:22:19,210,210-20250702-0,visit,,,Lviv,organic,ios
9424,2025-07-02 16:23:17,210,210-20250702-0,view_product,B,,Lviv,organic,ios
44649,2025-07-02 16:23:18,943,943-20250702-0,view_product,B,,Odesa,referral,ios
9423,2025-07-02 16:31:01,210,210-20250702-0,view_product,B,,Lviv,organic,ios
44650,2025-07-02 16:35:11,943,943-20250702-0,add_to_cart,B,,Odesa,referral,ios
8661,2025-07-02 16:40:14,197,197-20250702-0,visit,,,Kharkiv,ads,android
8663,2025-07-02 16:41:45,197,197-20250702-0,view_product,C,,Kharkiv,ads,android
45880,2025-07-02 16:46:08,963,963-20250702-0,visit,,,Kyiv,referral,web
45882,2025-07-02 16:46:53,963,963-20250702-0,view_product,C,,Kyiv,referral,web
8665,2025-07-02 16:47:30,197,197-20250702-0,view_product,B,,Kharkiv,ads,android
8666,2025-07-02 16:48:23,197,197-20250702-0,view_product,C,,Kharkiv,ads,android
8662,2025-07-02 16:48:41,197,197-20250702-0,view_product,A,,Kharkiv,ads,android
44651,2025-07-02 16:49:29,943,943-20250702-0,purchase,B,71.86,Odesa,referral,ios
8664,2025-07-02 16:50:04,197,197-20250702-0,view_product,A,,Kharkiv,ads,android
45881,2025-07-02 16:50:36,963,963-20250702-0,view_product,A,,Kyiv,referral,web
28976,2025-07-02 16:52:16,627,627-20250702-0,visit,,,Kyiv,organic,android
28977,2025-07-02 16:53:54,627,627-20250702-0,view_product,B,,Kyiv,organic,android
28978,2025-07-02 16:53:55,627,627-20250702-0,view_product,B,,Kyiv,organic,android
28979,2025-07-02 16:56:59,627,627-20250702-0,view_product,D,,Kyiv,organic,android
28981,2025-07-02 17:01:37,627,627-20250702-0,view_product,B,,Kyiv,organic,android
28980,2025-07-02 17:02:11,627,627-20250702-0,view_product,A,,Kyiv,organic,android
28982,2025-07-02 17:06:20,627,627-20250702-0,add_to_cart,D,,Kyiv,organic,android
